sampleID	band	species	location	site	nest	year	age	sex	experiment	treatment	cap_doy	cap_num	age	mass	bhead	fwing	dist_time	latency	sseries_type	cort1_raw	cort1_correct	glucose1	buty	bleed2_time	cort2_raw	cort2_correct	glucose2	inject1_type	inject1_dose	inject1_time	inject2_type	inject2_dose	inject2_time	bleed3_time	cort3_raw	cort3_correct	glucose3	release	fate	micro_nb	blood_nb	bolus_nb	lifetag_nb	notes
P19N202	278172424	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	162		12	22	24.8	50	00-Jan-00	00-Jan-00	B_S_D	1.66	2.07			00-Jan-00	29.83	37.02		Dex	10	00-Jan-00				00-Jan-00	9.77	12.13			Fledged		190270			Telomere sample was left in the mini fridge over night.
P19N203	278172425	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	162		12	24	25.8	50	00-Jan-00	00-Jan-00	B_S_D	1.39	1.73			00-Jan-00	36.75	45.61		Dex	11	00-Jan-00				00-Jan-00	9.43	11.7			Fledged		190271			Telomere sample was left in the mini fridge over night.
P19N210	278172238	TRES	Ithaca	Unit_1	360	2019	Adult	M			163	1	AHY	20	28.8	121	00-Jan-00	00-Jan-00	B_S	2.46	2.61			00-Jan-00	38.35	40.55												00-Jan-00			190279			
P19N211	278172239	TRES	Ithaca	Unit_1	427	2019	Adult	M			163	1	AHY	19	28.5	119	00-Jan-00	00-Jan-00	B_S	2.06	2.18			00-Jan-00	29.69	31.4												00-Jan-00			190280			
P19N212	272107009	TRES	Ithaca	Unit_1	301	2019	Adult	M			163	1	AHY	20.5	29.4	128	00-Jan-00																					00-Jan-00			190281			Male  just for lysis and telomere
P19N213	278172402	TRES	Ithaca	Unit_4	78	2019	Adult	F	Light	Light_Control	163	3	ASY	21.75			00-Jan-00	00-Jan-00	B_S_D	0.77	0.82																	00-Jan-00			190282			
P19N214	272107599	TRES	Ithaca	Unit_4	80	2019	Adult	F	Light	Light	163	3	ASY	19.5			00-Jan-00	00-Jan-00	B_S_D	3.62	3.83																	00-Jan-00			190283			
P19N215	278172301	TRES	Ithaca	Unit_4	80	2019	Adult	M	Light	Mate_Light	163	1	AHY	20.5	29.3	122	00-Jan-00	00-Jan-00	B_S_D	0.74	0.79																	00-Jan-00			190284			
P19N216	278172170	TRES	Ithaca	Unit_2	75	2019	Adult	M	Color_Stressor	Mate_Control_Dull	163	1	AHY	20.5	28.8	121	00-Jan-00		B_S_D																			00-Jan-00			190288			
P19N217	278171880	TRES	Ithaca	Unit_2	127	2019	Adult	M	Color_Stressor	Mate_Predator_Control	163	1	AHY	21	28.7	120	00-Jan-00		B_S_D																			00-Jan-00			190289			
P19N218	272107634	TRES	Ithaca	Unit_1	90	2019	Adult	M	Color_Stressor	Mate_Predator_Dull	163	1	AHY	20.5	29	118	00-Jan-00																					00-Jan-00			190290			
P19N219	278171895	TRES	Ithaca	Unit_2	121	2019	Nestling	Unknown	Color_Stressor	Control_Dull	163		12	18	25.5	46	00-Jan-00	00-Jan-00	B_S_D	0.37	0.47	220		00-Jan-00	16.29	17.24	213	Dex	8	00-Jan-00				00-Jan-00	38.03	40.23	212		Fledged		190291			
P19N220	278171881	TRES	Ithaca	Unit_2	68	2019	Nestling	Unknown	Color_Stressor	Control_Dull	163		12	19	24.3	39	00-Jan-00	00-Jan-00	B_S_D	4.11	4.35	159		00-Jan-00	14.8	15.66	221	Dex	8.5	00-Jan-00				00-Jan-00	3.81	4.04	187		Fledged		190292			
P19N221	278171884	TRES	Ithaca	Unit_2	68	2019	Nestling	Unknown	Color_Stressor	Control_Dull	163		12	20.75	25.9	49	00-Jan-00	00-Jan-00	B_S_D	9.14	9.67	215		00-Jan-00	23.17	24.51	245	Dex	9.5	00-Jan-00				00-Jan-00	5.77	6.11	264		Fledged		190295			
P19N222	278171886	TRES	Ithaca	Unit_2	68	2019	Nestling	Unknown	Color_Stressor	Control_Dull	163		12	23.5	26.4	58	00-Jan-00	00-Jan-00	B_S_D	9.68	10.24	148		00-Jan-00	31.7	33.53	224	Dex	11	00-Jan-00				00-Jan-00	11.31	11.97	212		Fledged		190297			
P19N223	278171883	TRES	Ithaca	Unit_2	68	2019	Nestling	Unknown	Color_Stressor	Control_Dull	163		12	19.75	25.4	56	00-Jan-00	00-Jan-00	B_S_D	1.9	2.01	165		00-Jan-00	26.98	28.54	220	Dex	9	00-Jan-00				00-Jan-00	4.71	4.99	257		Fledged		190294			
P19N225	278172257	TRES	Ithaca	Unit_1	306	2019	Nestling	Unknown			164		12	19	25.3	52																							Fledged		190319			
P19N226	278172258	TRES	Ithaca	Unit_1	306	2019	Nestling	Unknown			164		12	20	25.7	51																							Fledged		190319			
P19N227	278172259	TRES	Ithaca	Unit_1	306	2019	Nestling	Unknown			164		12	21	26.2	53																							Fledged		190321			
P19N228	278172260	TRES	Ithaca	Unit_1	306	2019	Nestling	Unknown			164		12	19	26.2	54																							Fledged		190322			
P19N229	278172261	TRES	Ithaca	Unit_1	306	2019	Nestling	Unknown			164		12	19.5	26	46																							Died		190323			
P19N230	278172262	TRES	Ithaca	Unit_1	421	2019	Nestling	Unknown			164		12	20.5	25.9	55																							Fledged		190324			
P19N231	278172263	TRES	Ithaca	Unit_1	421	2019	Nestling	Unknown			164		12	21.25	25.5	60																							Fledged		190325			
P19N232	278172264	TRES	Ithaca	Unit_1	421	2019	Nestling	Unknown			164		12	22.5	24.5	52																							Fledged		190326			
P19N234	281128719	TRES	Ithaca	Unit_2	35	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	164		15	14			00-Jan-00		A30									Cortro		00-Jan-00				00-Jan-00	31.49	33.31	215		Died		190329			
P19N240	281128722	TRES	Ithaca	Unit_2	103	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		15	15.5			00-Jan-00		A30									Cortro		00-Jan-00				00-Jan-00	15.17	16.05	225		Fledged		190333			
P19N241	278172269	TRES	Ithaca	Unit_2	120	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	18.5	24.5	51	00-Jan-00	00-Jan-00	B_S_D	21.97	23.24	170		00-Jan-00	56.05	59.28	171	Dex	8.5	00-Jan-00				00-Jan-00	4.87	5.15	143		Fledged		190341			
P19N242	278172270	TRES	Ithaca	Unit_2	120	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	16.5	24.5	50	00-Jan-00	00-Jan-00	B_S_D	24.23	25.63	181		00-Jan-00	57.14	60.43	159	Dex	7.5	00-Jan-00				00-Jan-00	3.78	4	152		Fledged		190342			
P19N243	278172271	TRES	Ithaca	Unit_2	120	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	14.5	24.3	44	00-Jan-00	00-Jan-00	B_S_D	16.64	17.61	153		00-Jan-00	82.05	86.78	126	Dex	7	00-Jan-00				00-Jan-00	4.57	4.84	168		Died		190343			
P19N244	278172273	TRES	Ithaca	Unit_2	101	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	164		12	19.5	23.2	53	00-Jan-00	00-Jan-00	B_S_D	11.03	11.67	186		00-Jan-00	25.89	27.39		Dex	9	00-Jan-00				00-Jan-00	12.81	13.55	165		Fledged		190345			
P19N245	278172274	TRES	Ithaca	Unit_2	101	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	164		12	16.5	23	44	00-Jan-00		B_S_D			182					193	Dex	7.5	00-Jan-00				00-Jan-00	9.24	9.78	165		Died		190346			
P19N246	278171888	TRES	Ithaca	Unit_2	109	2019	Nestling	Unknown	Color_Stressor	Control_Dull	164		12	17.5	25.5	51	00-Jan-00	00-Jan-00	B_S_D	52.29	55.31	178		00-Jan-00	103.73	109.7	112	Dex	8	00-Jan-00				00-Jan-00	4.58	4.85	188		Died		190350			
P19N247	278171889	TRES	Ithaca	Unit_2	109	2019	Nestling	Unknown	Color_Stressor	Control_Dull	164		12	17	25.3	53	00-Jan-00	00-Jan-00	B_S_D	16.04	16.96	184		00-Jan-00	71.44	75.55	191	Dex	7.5	00-Jan-00				00-Jan-00	7.03	7.44	157		Fledged		190351			
P19N248	281128737	TRES	Ithaca	Unit_2	39	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	19.5	25.3	55	00-Jan-00	00-Jan-00	B_S_D	5.58	5.91	247		00-Jan-00	37.12	39.26	218	Dex	9	00-Jan-00				00-Jan-00	7.29	7.71	231		Fledged		190354			
P19N249	281128738	TRES	Ithaca	Unit_2	39	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	17.5	25.8	47	00-Jan-00	00-Jan-00	B_S_D	2.38	2.52	247			32.77	34.66	248	Dex	8	00-Jan-00				00-Jan-00	13.83	14.64			Fledged		190355			
P19N250	281128739	TRES	Ithaca	Unit_2	39	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	19.5	21.7	60	00-Jan-00	00-Jan-00	B_S_D	2.56	2.71	323			35.71	37.77	344	Dex	9	00-Jan-00				00-Jan-00	11.83	12.52	278		Fledged		190356			
P19N251	281128733	TRES	Ithaca	Unit_2	20	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	19	26.6	56	00-Jan-00	00-Jan-00	B_S_D	14.84	15.7	211		00-Jan-00	41.89	44.3	193	Dex	8.5	00-Jan-00				00-Jan-00	9.8	10.37	151		Fledged		190365			
P19N252	281128734	TRES	Ithaca	Unit_2	20	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	20	26.2	53	00-Jan-00	00-Jan-00	B_S_D	7.57	8.01	142		00-Jan-00	44.78	47.36		Dex	9	00-Jan-00							132		Died		190366			"There was no dex bleed, but there is a dex glucose listed. There is a stress bleed, but no stress glucose listed. Unsure if the listed glucose is supposed to be for the stress bleed or if a tiny amount of dex blood was used for the dex glucose."
P19N253	281128735	TRES	Ithaca	Unit_2	20	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	20	25.6	53	00-Jan-00	00-Jan-00	B_S_D	21.54	22.79	196		00-Jan-00	45.2	47.81	188	Dex	9	00-Jan-00				00-Jan-00	9.44	9.99	114		Fledged		190367			
P19N254	281128736	TRES	Ithaca	Unit_2	20	2019	Nestling	Unknown	Color_Stressor	Control_Control	164		12	20.5	25.8	55	00-Jan-00	00-Jan-00	B_S_D	0.66	0.7	203		00-Jan-00	54.73	57.89	127	Dex	9.5	00-Jan-00									Fledged		190368			
P19N256	272107450	TRES	Ithaca	Turkey_Hill	86	2019	Adult	F	Light	Light_Control	165	3	SY	20			00-Jan-00	00-Jan-00	B_S_D	4.77	5.04																	00-Jan-00			190370			
P19N257	278172302	TRES	Ithaca	Turkey_Hill	86	2019	Adult	M	Light	Mate_Light_Control	165	1	AHY	18.75	28.7	119	00-Jan-00	00-Jan-00	B_S_D	3.05	3.23																	00-Jan-00			190371			
P19N258	278172405	TRES	Ithaca	Turkey_Hill	134	2019	Adult	F	Light	Light	165	3	SY	18.5			00-Jan-00	00-Jan-00	B_S_D	4.3	4.54																	00-Jan-00			190372			
P19N260	278172278	TRES	Ithaca	Unit_2	116	2019	Nestling	Unknown			165		12	15.5	24.5	50	00-Jan-00	00-Jan-00	B_S_D	1.7	1.81	155		00-Jan-00	60	63.45	155	Dex	7	00-Jan-00				00-Jan-00	4.59	4.86	192		Fledged		190377			
P19N261	278172281	TRES	Ithaca	Unit_2	116	2019	Nestling	Unknown			165		12	19.25	25.1	51.5	00-Jan-00	00-Jan-00	B_S_D	16.58	17.54	203		00-Jan-00	79.94	84.55	175	Dex	8.5	00-Jan-00				00-Jan-00	9.27	9.8	176		Fledged		190380			
P19N262	272107335	TRES	Ithaca	Unit_2	15	2019	Adult	M	Color_Stressor	Mate_Predator_Control	165	1	AHY	19.75	29.2	118			B_S_D																						190395			"Trap is just listed as ""trap"" on the sheet"
P19N267	235120680	TRES	Ithaca	Unit_4	93	2019	Adult	F	Light	Light	166	3	ASY	19.5			00-Jan-00	00-Jan-00		1.06	1.12																	00-Jan-00			190402			"Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg"
P19N268	240134830	TRES	Ithaca	Unit_4	93	2019	Adult	M	Light	Mate_Light	166	1	AHY	19.5	28.2	119	00-Jan-00	00-Jan-00	B_S_D	1.51	1.6																	00-Jan-00			190403			
P19N269	278171895	TRES	Ithaca	Unit_2	121	2019	Nestling	Unknown	Color_Stressor	Control_Dull	166		15	15.25			00-Jan-00		A30									Cortro	5.5	00-Jan-00				00-Jan-00	24.6	26.02	247		Fledged		190404			
P19N272	278172304	TRES	Ithaca	Unit_2	94	2019	Nestling	Unknown	Color_Stressor	Predator_Control	166		12	14	22.7	31	00-Jan-00	00-Jan-00	B_S_D	4.04	4.28	264		00-Jan-00	16.51	17.46	282	Dex	6.5	00-Jan-00				00-Jan-00	5.22	5.52	248		Died		190412			
P19N273	278172305	TRES	Ithaca	Unit_2	94	2019	Nestling	Unknown	Color_Stressor	Predator_Control	166		12	15	22.5	32	00-Jan-00	00-Jan-00	B_S_D	3.12	3.31	293		00-Jan-00				Dex	7	00-Jan-00				00-Jan-00	4.55	4.81	208		Died		190413			
P19N274	278172306	TRES	Ithaca	Unit_2	94	2019	Nestling	Unknown	Color_Stressor	Predator_Control	166		12	11.75	21.5	28.5	00-Jan-00	00-Jan-00	B_S_D	4.45	4.71	206		00-Jan-00	8.79	9.3	286	Dex	5.5	00-Jan-00				00-Jan-00	3.76	3.98	241		Died		190414			
P19N275	281128743	TRES	Ithaca	Unit_1	105	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	166		12	16.5	24.8	42	00-Jan-00	00-Jan-00	B_S_D	5.77	6.11	284		00-Jan-00	23.58	24.95	308	Dex		00-Jan-00				00-Jan-00	1.34	1.43	277		Fledged		190415			
P19N276	281128745	TRES	Ithaca	Unit_1	105	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	166		12	16.5	24.5	45.5	00-Jan-00	00-Jan-00	B_S_D	0.57	0.61	253		00-Jan-00	5.32	5.63	261	Dex		00-Jan-00				00-Jan-00	2.12	2.25	232		Fledged		190417			
P19N277	281128746	TRES	Ithaca	Unit_1	105	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	166		12	14.75	24.3	41	00-Jan-00	00-Jan-00	B_S_D	0.65	0.69	307		00-Jan-00	15.74	16.65	327	Dex		00-Jan-00				00-Jan-00	1.9	2.01	245		Fledged		190418			
P19N278	278172307	TRES	Ithaca	Turkey_Hill	11	2019	Nestling	Unknown	Light	Light_Control	166		12	23	26.4	59	00-Jan-00	00-Jan-00	B_S_D	4.78	5.94			00-Jan-00	23.99	29.77		Dex	10.5	00-Jan-00				00-Jan-00	7.7	9.56			Fledged		190420			
P19N279	278172308	TRES	Ithaca	Turkey_Hill	11	2019	Nestling	Unknown	Light	Light_Control	166		12	19	26.9	58	00-Jan-00	00-Jan-00	B_S_D	1.65	2.05			00-Jan-00	20.06	24.89		Dex	8.5	00-Jan-00				00-Jan-00	7	8.7			Fledged		190421			
P19N280	278172309	TRES	Ithaca	Turkey_Hill	11	2019	Nestling	Unknown	Light	Light_Control	166		12	20.75	24.6	56	00-Jan-00	00-Jan-00	B_S_D	2.44	3.04			00-Jan-00	14.41	17.89		Dex	9.5	00-Jan-00				00-Jan-00	11.82	14.67			Fledged		190422			
P19N281	278172310	TRES	Ithaca	Turkey_Hill	11	2019	Nestling	Unknown	Light	Light_Control	166		12	22	26.1	57	00-Jan-00	00-Jan-00	B_S_D	36.03	44.72			00-Jan-00	1.51	1.88		Dex	10	00-Jan-00				00-Jan-00	15.33	19.03			Died		190423			
P19N288	278172283	TRES	Ithaca	Unit_1	47	2019	Nestling	Unknown	Color_Stressor	Control_Control	167		12	18	24.5	47	00-Jan-00	00-Jan-00	B_S_D	4.32	4.57	225			40.46	42.79		Dex	8	00-Jan-00				00-Jan-00	2.98	3.15	256		Died		190480			
P19N289	278172284	TRES	Ithaca	Unit_1	47	2019	Nestling	Unknown	Color_Stressor	Control_Control	167		12	14	24.3	45	00-Jan-00	00-Jan-00	B_S_D	6.92	7.33	243			29.46	31.16	198	Dex	6.5	00-Jan-00				00-Jan-00	3.05	3.23	248		Died		190481			
P19N290	278172285	TRES	Ithaca	Unit_1	47	2019	Nestling	Unknown	Color_Stressor	Control_Control	167		12	17.5	25.7	51	00-Jan-00	00-Jan-00	B_S_D	4.48	4.74	258			34.6	36.59	248	Dex	8	00-Jan-00				00-Jan-00	3.2	3.39	202		Died		190482			
P19N291	281128803	TRES	Ithaca	Unit_1	81	2019	Nestling	Unknown	Color_Stressor	Control_Control	167		12	16.5	24.1	49	00-Jan-00	00-Jan-00	B_S_D	10.12	10.71	184		00-Jan-00	38.07	40.27	179	Dex	7.5	00-Jan-00				00-Jan-00	2.91	3.08	210		Fledged		190486			
P19N292	281128804	TRES	Ithaca	Unit_1	81	2019	Nestling	Unknown	Color_Stressor	Control_Control	167		12	14	23.1	35	00-Jan-00	00-Jan-00	B_S_D	11.69	12.36	141																	Fledged		190487			
P19N293	278172313	TRES	Ithaca	Unit_4	94	2019	Nestling	Unknown	Light	Light_Control	167		12	24.5	25.4	48	00-Jan-00	00-Jan-00	B_S_D	5.16	6.4			00-Jan-00	28.79	35.74		Dex	11.5	00-Jan-00				00-Jan-00	6.37	7.91			Fledged		190489			
P19N294	278172314	TRES	Ithaca	Unit_4	94	2019	Nestling	Unknown	Light	Light_Control	167		12	21.5	25	50	00-Jan-00	00-Jan-00	B_S_D	10.04	12.46			00-Jan-00	30.66	38.06		Dex	10	00-Jan-00				00-Jan-00	4.39	5.45			Fledged		190490			
P19N295	278172315	TRES	Ithaca	Unit_4	94	2019	Nestling	Unknown	Light	Light_Control	167		12	22	26.5	55	00-Jan-00	00-Jan-00	B_S_D	6.07	7.54			00-Jan-00	52.9	65.65		Dex	10	00-Jan-00				00-Jan-00	27.84	34.56			Fledged		190491			
P19N296	278172316	TRES	Ithaca	Unit_4	94	2019	Nestling	Unknown	Light	Light_Control	167		12	18.5	25.2	48	00-Jan-00	00-Jan-00	B_S_D	16.57	20.57			00-Jan-00	39.09	48.51		Dex	8.5	00-Jan-00				00-Jan-00	4.31	5.35			Fledged		190492			
P19N297	278172317	TRES	Ithaca	Unit_4	94	2019	Nestling	Unknown	Light	Light_Control	167		12	19.5	25.3	44	00-Jan-00		B_S_D					00-Jan-00	18.37	22.8		Dex	9	00-Jan-00				00-Jan-00	13.04	16.19			Fledged		190493			
P19N298	278172318	TRES	Ithaca	Unit_4	97	2019	Nestling	Unknown	Light	Light	167		12	19.5	25.6	55	00-Jan-00	00-Jan-00	B_S_D	1.69	2.1			00-Jan-00	42.4	52.62		Dex	9	00-Jan-00				00-Jan-00	5.22	6.48			Fledged		190494			
P19N299	278172319	TRES	Ithaca	Unit_4	97	2019	Nestling	Unknown	Light	Light	167		12	24	26.5	57	00-Jan-00	00-Jan-00	B_S_D	1.09	1.36			00-Jan-00	7.36	9.14		Dex	11	00-Jan-00				00-Jan-00	8.34	10.35			Fledged		190495			
P19N300	278172320	TRES	Ithaca	Unit_4	97	2019	Nestling	Unknown	Light	Light	167		12	23	26.6	56	00-Jan-00	00-Jan-00	B_S_D	0	0.47			00-Jan-00	29.13	36.15		Dex	10.5	00-Jan-00				00-Jan-00	10.98	13.63			Fledged		190496			
P19N301	278172322	TRES	Ithaca	Unit_4	97	2019	Nestling	Unknown	Light	Light	167		12	21.5	26.9	55	00-Jan-00	00-Jan-00	B_S_D	0	0.47			00-Jan-00	16.44	20.41		Dex	10	00-Jan-00				00-Jan-00	11.27	13.99			Fledged		190498			
P19N302	278172430	TRES	Ithaca	Turkey_Hill	3	2019	Nestling	Unknown	Light	Light	167		12	16.5	24.1	43.5	00-Jan-00	00-Jan-00	B_S_D	7.41	9.2			00-Jan-00	41.07	50.97		Dex	7.5	00-Jan-00				00-Jan-00	2.97	3.69			Fledged		190501			
P19N303	278172431	TRES	Ithaca	Turkey_Hill	3	2019	Nestling	Unknown	Light	Light	167		12	19.5	25.6	48.5	00-Jan-00	00-Jan-00	B_S_D	6.68	8.3			00-Jan-00	43.86	54.43		Dex	9	00-Jan-00				00-Jan-00	3.1	3.86			Fledged		190502			
P19N304	278172433	TRES	Ithaca	Turkey_Hill	106	2019	Nestling	Unknown	Light	Light	167		12	19.5	24.5	47	00-Jan-00	00-Jan-00	B_S_D	1.51	1.88			00-Jan-00	35.39	43.92		Dex	9	00-Jan-00				00-Jan-00	6.48	8.05			Fledged		190504			Day 6 date is actually day 7.
